"o.sites","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT","counted","count.j1","count.j2","count.j3","observer.j1","observer.j2","observer.j3","time.j1","time.j2","time.j3"
19,2012,13.65,2.95,-4.4,33.9,"yes",6,4,5,"tech.1","tech.3","tech.1",110,350,125
20,2012,13.55,1.05,-4.4,33.9,"yes",3,6,3,"tech.4","tech.3","tech.3",235,290,145
21,2012,9.1,5.1,-4.4,33.9,"yes",7,4,6,"tech.3","tech.3","tech.3",240,305,125
22,2012,2.7,0,-4.4,33.9,"yes",6,7,5,"tech.4","tech.1","tech.1",15,135,275
26,2012,11.7,4.05,-4.4,33.9,"yes",9,8,5,"tech.3","tech.4","tech.4",245,200,45
30,2012,10.65,1.4,-4.4,33.9,"yes",3,4,5,"tech.3","tech.3","tech.3",280,145,350
35,2012,26.3,0.95,-4.4,33.9,"yes",6,4,7,"tech.2","tech.2","tech.3",95,320,270
37,2012,14.8,1.25,-4.4,33.9,"yes",4,4,2,"tech.2","tech.1","tech.2",90,230,45
38,2012,12.05,0.3,-4.4,33.9,"yes",2,4,4,"tech.1","tech.4","tech.1",40,240,295
39,2012,12.7,0.8,-4.4,33.9,"yes",5,3,6,"tech.1","tech.2","tech.1",245,290,205
44,2012,11.45,8.6,-4.4,33.9,"yes",5,5,5,"tech.3","tech.4","tech.4",200,275,95
45,2012,4.4,3,-4.4,33.9,"yes",6,3,6,"tech.3","tech.2","tech.1",215,330,130
46,2012,7.6,1.55,-4.4,33.9,"yes",6,5,3,"tech.1","tech.3","tech.3",105,15,345
49,2012,12.2,9.1,-4.4,33.9,"yes",13,9,8,"tech.1","tech.2","tech.4",75,40,195
50,2012,14.3,4.2,-4.4,33.9,"yes",8,7,2,"tech.3","tech.2","tech.3",185,180,70
52,2012,11.1,2.95,-4.4,33.9,"yes",3,2,2,"tech.3","tech.4","tech.2",260,80,270
55,2012,16.7,0.1,-4.4,33.9,"yes",4,4,4,"tech.1","tech.1","tech.2",60,145,175
56,2012,14.4,2.7,-4.4,33.9,"yes",3,1,4,"tech.4","tech.1","tech.2",320,10,280
58,2012,11.4,3.6,-4.4,33.9,"yes",6,9,9,"tech.2","tech.2","tech.4",195,70,145
60,2012,8.8,3.85,-4.4,33.9,"yes",4,5,5,"tech.1","tech.4","tech.4",15,295,290
62,2012,18.2,0.65,-4.4,33.9,"yes",8,10,4,"tech.3","tech.3","tech.3",165,130,260
65,2012,15.3,1.45,-4.4,33.9,"yes",4,7,8,"tech.4","tech.2","tech.3",240,115,275
68,2012,13.4,5.6,-4.4,33.9,"yes",10,8,6,"tech.1","tech.3","tech.1",60,130,300
69,2012,15.15,7.85,-4.4,33.9,"yes",11,10,12,"tech.4","tech.4","tech.2",95,65,240
71,2012,9.85,9.1,-4.4,33.9,"yes",8,5,11,"tech.3","tech.1","tech.2",130,40,100
75,2012,11.75,10.75,-4.4,33.9,"yes",13,17,13,"tech.1","tech.4","tech.1",195,110,35
76,2012,14.3,3.05,-4.4,33.9,"yes",4,5,8,"tech.4","tech.2","tech.1",210,280,145
79,2012,9.8,11.65,-4.4,33.9,"yes",4,8,9,"tech.3","tech.3","tech.3",280,340,180
83,2012,15.1,1.2,-4.4,33.9,"yes",4,5,6,"tech.4","tech.4","tech.3",255,140,80
84,2012,4.7,9.85,-4.4,33.9,"yes",9,5,8,"tech.4","tech.1","tech.1",265,345,295
86,2012,2.4,2.7,-4.4,33.9,"yes",6,6,8,"tech.4","tech.1","tech.3",250,180,115
88,2012,18.6,5.1,-4.4,33.9,"yes",7,7,3,"tech.3","tech.2","tech.1",155,100,0
91,2012,9.8,2.25,-4.4,33.9,"yes",5,3,2,"tech.1","tech.1","tech.2",165,45,115
92,2012,16.5,3.4,-4.4,33.9,"yes",7,3,4,"tech.1","tech.1","tech.1",270,25,35
93,2012,8.6,6.1,-4.4,33.9,"yes",8,7,3,"tech.3","tech.1","tech.4",285,115,325
94,2012,3.7,2.65,-4.4,33.9,"yes",3,4,1,"tech.4","tech.3","tech.4",225,150,360
95,2012,14.6,4.15,-4.4,33.9,"yes",7,7,6,"tech.4","tech.1","tech.2",110,95,100
97,2012,12.4,12.95,-4.4,33.9,"yes",8,9,10,"tech.3","tech.1","tech.2",65,170,60
98,2012,11.95,5.6,-4.4,33.9,"yes",6,3,4,"tech.4","tech.4","tech.1",275,95,30
100,2012,20.25,3.95,-4.4,33.9,"yes",8,5,4,"tech.4","tech.3","tech.4",135,50,315
1,2013,10.8,2.9,-4.4,35,"yes",9,6,9,"tech.4","tech.4","tech.1",160,70,125
4,2013,10.5,1.8,-4.4,35,"yes",6,4,3,"tech.1","tech.3","tech.4",200,270,115
6,2013,30.2,2.5,-4.4,35,"yes",3,3,6,"tech.2","tech.2","tech.3",75,75,200
8,2013,7.6,3.8,-4.4,35,"yes",4,4,4,"tech.2","tech.2","tech.1",245,60,155
10,2013,6.6,2.4,-4.4,35,"yes",6,4,6,"tech.3","tech.1","tech.1",265,325,145
11,2013,1.7,5.2,-4.4,35,"yes",4,0,5,"tech.1","tech.1","tech.4",260,360,40
12,2013,13.4,14,-4.4,35,"yes",5,8,9,"tech.3","tech.1","tech.1",355,15,255
13,2013,12.8,15.3,-4.4,35,"yes",12,6,21,"tech.4","tech.2","tech.1",315,300,120
14,2013,12.7,9.4,-4.4,35,"yes",14,13,21,"tech.3","tech.2","tech.3",30,330,115
17,2013,10.5,5.4,-4.4,35,"yes",5,6,1,"tech.2","tech.1","tech.4",175,145,360
19,2013,10.3,2.3,-4.4,35,"yes",4,4,4,"tech.3","tech.1","tech.3",275,0,260
20,2013,13.2,0.9,-4.4,35,"yes",4,3,3,"tech.1","tech.1","tech.3",225,260,270
21,2013,10.1,4.8,-4.4,35,"yes",5,4,6,"tech.3","tech.2","tech.4",330,120,110
22,2013,4.2,0,-4.4,35,"yes",2,1,5,"tech.1","tech.1","tech.2",70,160,40
26,2013,10.6,3.8,-4.4,35,"yes",8,6,10,"tech.2","tech.4","tech.3",190,200,105
30,2013,11.3,1.5,-4.4,35,"yes",6,2,4,"tech.4","tech.1","tech.4",235,25,180
35,2013,26,0.3,-4.4,35,"yes",4,4,4,"tech.4","tech.2","tech.3",275,95,125
37,2013,13.5,2.4,-4.4,35,"yes",5,3,1,"tech.2","tech.2","tech.3",10,20,335
38,2013,12.8,0.1,-4.4,35,"yes",1,1,3,"tech.3","tech.2","tech.2",250,255,145
39,2013,12.6,0,-4.4,35,"yes",7,3,2,"tech.2","tech.4","tech.2",105,295,360
44,2013,9.7,8.5,-4.4,35,"yes",2,6,4,"tech.4","tech.4","tech.4",340,335,275
45,2013,2.1,2.7,-4.4,35,"yes",3,0,1,"tech.3","tech.3","tech.1",335,300,275
46,2013,6.1,0.8,-4.4,35,"yes",2,2,3,"tech.1","tech.3","tech.4",360,270,335
49,2013,6.3,0.1,-4.4,35,"yes",14,10,11,"tech.1","tech.4","tech.1",215,150,195
50,2013,10.7,3.5,-4.4,35,"yes",6,6,8,"tech.2","tech.4","tech.1",85,295,70
52,2013,8.5,1.7,-4.4,35,"yes",4,3,1,"tech.4","tech.2","tech.1",80,40,345
55,2013,11.4,0,-4.4,35,"yes",2,4,2,"tech.2","tech.1","tech.4",330,205,125
56,2013,10.8,2.6,-4.4,35,"yes",2,3,2,"tech.4","tech.4","tech.2",310,230,165
58,2013,7.2,2.3,-4.4,35,"yes",7,6,4,"tech.2","tech.1","tech.3",155,220,235
60,2013,7,3.5,-4.4,35,"yes",8,6,6,"tech.4","tech.3","tech.3",235,90,280
62,2013,18.9,0.4,-4.4,35,"yes",4,9,8,"tech.1","tech.4","tech.3",285,215,175
65,2013,13.7,0.2,-4.4,35,"yes",6,5,4,"tech.3","tech.2","tech.3",175,65,310
68,2013,10.9,5.2,-4.4,35,"yes",5,9,7,"tech.2","tech.2","tech.2",190,180,125
69,2013,13,0,-4.4,35,"yes",7,10,4,"tech.4","tech.4","tech.4",50,160,25
71,2013,9.9,9.2,-4.4,35,"yes",7,4,3,"tech.1","tech.2","tech.1",90,325,0
75,2013,11.4,10.8,-4.4,35,"yes",16,7,12,"tech.1","tech.3","tech.3",120,285,115
76,2013,14.9,2.5,-4.4,35,"yes",2,6,3,"tech.2","tech.2","tech.1",290,210,325
79,2013,11.2,12.6,-4.4,35,"yes",12,5,9,"tech.1","tech.3","tech.4",210,355,280
83,2013,7.4,0.6,-4.4,35,"yes",3,6,2,"tech.2","tech.3","tech.1",210,220,155
84,2013,3.6,10.7,-4.4,35,"yes",7,10,6,"tech.2","tech.3","tech.4",200,145,40
86,2013,1.9,2.8,-4.4,35,"yes",7,6,6,"tech.3","tech.1","tech.2",255,80,335
88,2013,18.9,3.9,-4.4,35,"yes",3,9,8,"tech.4","tech.1","tech.1",340,115,90
91,2013,8.7,1.5,-4.4,35,"yes",5,4,6,"tech.4","tech.1","tech.2",35,75,240
92,2013,13.5,1.8,-4.4,35,"yes",5,5,4,"tech.1","tech.2","tech.1",215,95,280
93,2013,7.7,5.7,-4.4,35,"yes",5,8,9,"tech.1","tech.4","tech.3",195,15,115
94,2013,2.7,2.6,-4.4,35,"yes",3,0,3,"tech.1","tech.3","tech.3",15,355,35
95,2013,13.1,3.3,-4.4,35,"yes",8,6,6,"tech.2","tech.3","tech.1",90,265,15
97,2013,14.5,12.4,-4.4,35,"yes",10,8,10,"tech.1","tech.2","tech.1",310,50,180
98,2013,11.6,5,-4.4,35,"yes",3,7,1,"tech.2","tech.3","tech.1",325,240,360
100,2013,10.7,1.5,-4.4,35,"yes",6,5,7,"tech.4","tech.2","tech.4",190,60,115
1,2014,4.5,1.8,-6.7,35,"yes",2,5,2,"tech.4","tech.2","tech.3",315,50,310
4,2014,11.7,1.1,-6.7,35,"yes",3,4,6,"tech.3","tech.3","tech.4",210,95,165
6,2014,31.3,2.4,-6.7,35,"yes",6,7,2,"tech.2","tech.3","tech.1",95,155,35
8,2014,9.4,3.6,-6.7,35,"yes",3,4,3,"tech.1","tech.2","tech.4",180,125,190
10,2014,6.5,2.4,-6.7,35,"yes",3,4,3,"tech.3","tech.4","tech.3",300,95,305
11,2014,2.3,5.2,-6.7,35,"yes",2,5,5,"tech.2","tech.1","tech.2",350,205,355
12,2014,12.7,14,-6.7,35,"yes",9,11,6,"tech.3","tech.1","tech.1",110,165,75
13,2014,11.7,15.3,-6.7,35,"yes",17,11,7,"tech.1","tech.1","tech.4",70,70,355
14,2014,8.1,8.8,-6.7,35,"yes",15,10,9,"tech.1","tech.4","tech.3",70,270,320
17,2014,12.9,5.2,-6.7,35,"yes",6,2,3,"tech.4","tech.1","tech.4",135,260,155
19,2014,10.2,1.7,-6.7,35,"yes",3,2,5,"tech.4","tech.3","tech.2",85,295,185
20,2014,10.9,0.9,-6.7,35,"yes",5,1,2,"tech.2","tech.1","tech.1",170,270,320
21,2014,10.6,4.8,-6.7,35,"yes",6,3,5,"tech.2","tech.3","tech.1",300,325,225
22,2014,5.2,0,-6.7,35,"yes",6,2,5,"tech.2","tech.2","tech.1",55,50,285
26,2014,10,3.8,-6.7,35,"yes",2,6,3,"tech.1","tech.2","tech.4",360,90,230
30,2014,7,1.5,-6.7,35,"yes",4,4,7,"tech.4","tech.1","tech.4",315,140,140
35,2014,27.6,0.2,-6.7,35,"yes",7,5,3,"tech.2","tech.1","tech.4",265,40,190
37,2014,2.4,2.4,-6.7,35,"yes",5,1,4,"tech.2","tech.1","tech.3",270,195,115
38,2014,12.6,0.1,-6.7,35,"yes",1,3,1,"tech.1","tech.1","tech.2",315,300,325
39,2014,14.2,0,-6.7,35,"yes",6,1,5,"tech.1","tech.3","tech.1",85,340,355
44,2014,9.9,8.5,-6.7,35,"yes",6,4,4,"tech.3","tech.1","tech.1",145,180,265
45,2014,2.5,2.7,-6.7,35,"yes",4,1,2,"tech.4","tech.1","tech.2",210,50,110
46,2014,6.1,0.8,-6.7,35,"yes",5,1,2,"tech.1","tech.1","tech.3",120,0,315
49,2014,26.8,0.8,-6.7,35,"yes",10,10,8,"tech.1","tech.3","tech.4",190,80,210
50,2014,12.3,3.5,-6.7,35,"yes",3,6,1,"tech.2","tech.3","tech.3",0,140,340
52,2014,6.7,1.2,-6.7,35,"yes",4,3,1,"tech.1","tech.1","tech.1",150,135,105
55,2014,21.7,0.1,-6.7,35,"yes",3,2,2,"tech.1","tech.3","tech.3",115,145,260
56,2014,26.5,2.5,-6.7,35,"yes",2,2,1,"tech.3","tech.2","tech.4",120,150,145
58,2014,18.3,1.7,-6.7,35,"yes",3,6,3,"tech.2","tech.4","tech.2",235,75,30
60,2014,8.8,3.6,-6.7,35,"yes",3,6,5,"tech.3","tech.1","tech.3",345,70,175
62,2014,18.7,0.4,-6.7,35,"yes",6,6,5,"tech.3","tech.4","tech.2",5,65,170
65,2014,16.7,0.1,-6.7,35,"yes",5,6,7,"tech.2","tech.4","tech.3",155,80,40
68,2014,15.4,4.4,-6.7,35,"yes",6,7,8,"tech.3","tech.4","tech.4",110,60,210
69,2014,6.8,0.5,-6.7,35,"yes",8,5,8,"tech.3","tech.3","tech.4",205,145,175
71,2014,10.3,9.2,-6.7,35,"yes",3,5,4,"tech.4","tech.3","tech.4",0,25,185
75,2014,11.4,10.8,-6.7,35,"yes",15,8,14,"tech.1","tech.4","tech.2",195,215,160
76,2014,15.1,2.5,-6.7,35,"yes",5,3,7,"tech.3","tech.3","tech.1",260,115,140
79,2014,12.4,13.1,-6.7,35,"yes",7,7,6,"tech.3","tech.2","tech.2",225,240,265
83,2014,27.4,0.6,-6.7,35,"yes",2,3,4,"tech.4","tech.3","tech.1",300,45,170
84,2014,3.5,10.6,-6.7,35,"yes",3,4,7,"tech.4","tech.4","tech.3",140,5,185
86,2014,4.3,2.8,-6.7,35,"yes",6,5,5,"tech.4","tech.4","tech.3",175,315,225
88,2014,27.2,3.5,-6.7,35,"yes",3,4,4,"tech.2","tech.4","tech.3",105,145,210
91,2014,7.9,1.3,-6.7,35,"yes",3,3,3,"tech.1","tech.1","tech.3",225,170,65
92,2014,17.7,1.2,-6.7,35,"yes",3,3,1,"tech.4","tech.1","tech.4",95,350,200
93,2014,8,5.6,-6.7,35,"yes",5,6,7,"tech.1","tech.3","tech.4",100,265,85
94,2014,2.3,2.6,-6.7,35,"yes",3,3,3,"tech.2","tech.4","tech.2",240,75,65
95,2014,7.9,3.3,-6.7,35,"yes",4,10,6,"tech.2","tech.1","tech.3",335,165,295
97,2014,14.1,12.4,-6.7,35,"yes",10,10,8,"tech.2","tech.1","tech.1",135,245,20
98,2014,8.5,4.8,-6.7,35,"yes",4,4,5,"tech.3","tech.3","tech.4",345,140,35
100,2014,15.6,3.1,-6.7,35,"yes",2,4,0,"tech.3","tech.1","tech.4",195,60,325
1,2015,13.9,2,-6.7,31.1,"yes",1,4,2,"tech.1","tech.2","tech.1",0,135,90
4,2015,16.8,0.6,-6.7,31.1,"yes",2,3,5,"tech.2","tech.4","tech.4",100,75,160
6,2015,29,2.4,-6.7,31.1,"yes",5,1,3,"tech.3","tech.2","tech.4",70,50,135
8,2015,8.3,2.8,-6.7,31.1,"yes",3,5,2,"tech.1","tech.2","tech.4",345,255,345
10,2015,10.1,2.2,-6.7,31.1,"yes",4,6,6,"tech.1","tech.1","tech.1",15,285,240
11,2015,3.7,5,-6.7,31.1,"yes",5,5,3,"tech.1","tech.2","tech.1",220,125,170
12,2015,13.3,13.3,-6.7,31.1,"yes",11,10,12,"tech.2","tech.4","tech.3",115,25,160
13,2015,10.7,0,-6.7,31.1,"yes",12,12,15,"tech.2","tech.1","tech.1",340,275,45
14,2015,11.2,8.3,-6.7,31.1,"yes",4,8,13,"tech.2","tech.1","tech.1",305,320,120
17,2015,14.8,4.7,-6.7,31.1,"yes",4,5,6,"tech.1","tech.2","tech.1",80,145,175
19,2015,11.1,1.1,-6.7,31.1,"yes",4,5,3,"tech.4","tech.2","tech.2",120,205,75
20,2015,6.4,0.9,-6.7,31.1,"yes",4,3,1,"tech.4","tech.4","tech.4",250,360,335
21,2015,8.7,4.5,-6.7,31.1,"yes",8,8,6,"tech.2","tech.3","tech.1",95,100,105
22,2015,4.5,0,-6.7,31.1,"yes",2,1,1,"tech.2","tech.2","tech.3",235,340,220
26,2015,12.9,3.5,-6.7,31.1,"yes",3,2,5,"tech.3","tech.4","tech.2",30,80,185
30,2015,6.5,1.4,-6.7,31.1,"yes",5,1,5,"tech.1","tech.1","tech.2",80,290,100
35,2015,26.9,0.2,-6.7,31.1,"yes",4,3,6,"tech.3","tech.3","tech.3",30,70,0
37,2015,12.9,2.4,-6.7,31.1,"yes",2,3,2,"tech.1","tech.2","tech.1",45,185,230
38,2015,10,0.1,-6.7,31.1,"yes",1,1,3,"tech.3","tech.4","tech.3",225,105,5
39,2015,10.8,0,-6.7,31.1,"yes",6,5,4,"tech.4","tech.1","tech.4",70,305,305
44,2015,12.3,8.5,-6.7,31.1,"yes",3,4,5,"tech.3","tech.2","tech.3",265,195,225
45,2015,6.7,2.9,-6.7,31.1,"yes",1,2,1,"tech.2","tech.1","tech.2",315,45,5
46,2015,6.6,0.8,-6.7,31.1,"yes",1,3,2,"tech.1","tech.1","tech.1",310,70,315
49,2015,11,0.6,-6.7,31.1,"yes",10,7,5,"tech.2","tech.4","tech.2",130,60,315
50,2015,18.6,3.6,-6.7,31.1,"yes",6,6,4,"tech.2","tech.1","tech.4",40,285,30
52,2015,8.7,0.9,-6.7,31.1,"yes",2,3,2,"tech.4","tech.4","tech.1",45,245,95
55,2015,13.8,0,-6.7,31.1,"yes",1,1,1,"tech.4","tech.3","tech.1",130,95,145
56,2015,16.6,1.9,-6.7,31.1,"yes",2,1,1,"tech.1","tech.4","tech.1",30,305,0
58,2015,16.6,1.2,-6.7,31.1,"yes",5,7,3,"tech.3","tech.2","tech.3",245,195,120
60,2015,6.3,3.6,-6.7,31.1,"yes",4,4,2,"tech.1","tech.2","tech.2",360,345,335
62,2015,19.8,0.4,-6.7,31.1,"yes",5,5,6,"tech.3","tech.2","tech.4",210,245,135
65,2015,15.2,0.2,-6.7,31.1,"yes",8,6,6,"tech.3","tech.1","tech.3",200,230,40
68,2015,16.2,3.5,-6.7,31.1,"yes",6,4,7,"tech.1","tech.1","tech.2",25,35,95
69,2015,12.7,3.6,-6.7,31.1,"yes",6,5,2,"tech.4","tech.4","tech.3",325,175,310
71,2015,9.1,8.3,-6.7,31.1,"yes",6,5,4,"tech.4","tech.3","tech.2",60,195,245
75,2015,14.4,9.6,-6.7,31.1,"yes",6,15,11,"tech.1","tech.3","tech.4",270,240,350
76,2015,15.2,2.5,-6.7,31.1,"yes",4,5,4,"tech.4","tech.3","tech.2",355,315,185
79,2015,15.2,12.3,-6.7,31.1,"yes",9,3,7,"tech.1","tech.1","tech.4",195,305,190
83,2015,16.1,0.6,-6.7,31.1,"yes",4,3,4,"tech.2","tech.3","tech.2",260,35,60
84,2015,5.6,10,-6.7,31.1,"yes",6,7,5,"tech.1","tech.1","tech.4",60,125,330
86,2015,4.3,2.6,-6.7,31.1,"yes",3,5,6,"tech.1","tech.2","tech.4",335,115,60
88,2015,25.8,3.7,-6.7,31.1,"yes",4,1,5,"tech.2","tech.4","tech.3",0,345,65
91,2015,15.1,1.7,-6.7,31.1,"yes",4,3,5,"tech.2","tech.3","tech.4",120,75,40
92,2015,18.5,1.5,-6.7,31.1,"yes",3,4,5,"tech.4","tech.4","tech.2",5,280,245
93,2015,10.6,5.2,-6.7,31.1,"yes",8,3,5,"tech.1","tech.1","tech.1",120,360,315
94,2015,6.1,2.7,-6.7,31.1,"yes",4,1,2,"tech.2","tech.3","tech.3",150,110,90
95,2015,9.6,3.3,-6.7,31.1,"yes",7,9,7,"tech.2","tech.2","tech.2",285,175,200
97,2015,14.7,12,-6.7,31.1,"yes",7,10,8,"tech.3","tech.2","tech.3",330,270,295
98,2015,10.7,5,-6.7,31.1,"yes",7,4,4,"tech.4","tech.2","tech.1",295,50,300
100,2015,12.6,2.3,-6.7,31.1,"yes",2,3,5,"tech.4","tech.2","tech.1",55,95,215
1,2016,15.3,1.1,-5,32.2,"yes",8,4,7,"tech.2","tech.2","tech.1",210,50,140
4,2016,17.2,0.2,-5,32.2,"yes",3,4,3,"tech.1","tech.4","tech.3",45,0,200
6,2016,27.8,2.1,-5,32.2,"yes",3,5,5,"tech.3","tech.3","tech.2",70,5,210
8,2016,8.4,2.8,-5,32.2,"yes",5,6,10,"tech.4","tech.3","tech.4",35,210,80
10,2016,13.2,2.6,-5,32.2,"yes",5,5,6,"tech.1","tech.4","tech.2",25,70,35
11,2016,5.6,4.9,-5,32.2,"yes",7,5,4,"tech.3","tech.2","tech.4",140,275,50
12,2016,13.7,13.4,-5,32.2,"yes",14,16,13,"tech.1","tech.4","tech.3",195,275,175
13,2016,10.8,1.1,-5,32.2,"yes",9,14,15,"tech.4","tech.1","tech.4",325,315,120
14,2016,8.2,7.7,-5,32.2,"yes",18,11,15,"tech.1","tech.1","tech.2",240,115,50
17,2016,17.2,3.9,-5,32.2,"yes",5,5,2,"tech.2","tech.2","tech.1",230,225,250
19,2016,12.6,0.9,-5,32.2,"yes",3,4,6,"tech.3","tech.2","tech.4",285,75,145
20,2016,3,0.5,-5,32.2,"yes",5,4,4,"tech.4","tech.2","tech.3",240,90,105
21,2016,11.8,4.5,-5,32.2,"yes",4,3,5,"tech.2","tech.2","tech.2",360,315,320
22,2016,0.2,0,-5,32.2,"yes",3,1,3,"tech.1","tech.1","tech.3",320,360,150
26,2016,17.3,3.1,-5,32.2,"yes",3,4,4,"tech.1","tech.1","tech.1",270,320,5
30,2016,4,1.1,-5,32.2,"yes",5,3,4,"tech.2","tech.3","tech.4",140,15,30
35,2016,17,0.1,-5,32.2,"yes",5,5,6,"tech.1","tech.1","tech.3",220,270,70
37,2016,4.5,1.9,-5,32.2,"yes",3,4,3,"tech.1","tech.3","tech.2",85,300,125
38,2016,4.3,0.1,-5,32.2,"yes",1,2,3,"tech.2","tech.1","tech.2",310,240,70
39,2016,7.8,0,-5,32.2,"yes",7,6,4,"tech.4","tech.3","tech.4",85,90,285
44,2016,13.6,9.3,-5,32.2,"yes",2,3,5,"tech.4","tech.2","tech.1",330,245,85
45,2016,8.9,3.1,-5,32.2,"yes",3,4,4,"tech.4","tech.1","tech.4",65,65,130
46,2016,8.2,0.8,-5,32.2,"yes",3,4,3,"tech.3","tech.1","tech.2",90,245,260
49,2016,10.7,3.8,-5,32.2,"yes",9,8,6,"tech.4","tech.1","tech.2",240,180,165
50,2016,18.9,2.1,-5,32.2,"yes",3,1,1,"tech.4","tech.2","tech.1",285,35,140
52,2016,2.3,0.4,-5,32.2,"yes",3,3,4,"tech.3","tech.1","tech.1",320,55,65
55,2016,13.7,0,-5,32.2,"yes",1,1,0,"tech.3","tech.1","tech.2",35,130,180
56,2016,16.6,0.5,-5,32.2,"yes",2,2,2,"tech.2","tech.4","tech.3",250,150,85
58,2016,19.5,0.7,-5,32.2,"yes",0,2,6,"tech.3","tech.2","tech.4",310,35,135
60,2016,7.6,3.2,-5,32.2,"yes",6,10,7,"tech.4","tech.2","tech.4",105,170,40
62,2016,20,0.6,-5,32.2,"yes",3,3,7,"tech.2","tech.1","tech.1",40,75,230
65,2016,22.5,0,-5,32.2,"yes",3,4,3,"tech.4","tech.3","tech.1",180,50,300
68,2016,17.2,3,-5,32.2,"yes",8,5,7,"tech.1","tech.3","tech.1",205,195,70
69,2016,16,3,-5,32.2,"yes",5,4,2,"tech.4","tech.2","tech.4",95,240,310
71,2016,8.8,8,-5,32.2,"yes",6,5,8,"tech.3","tech.1","tech.4",60,305,145
75,2016,15.4,9,-5,32.2,"yes",6,8,7,"tech.2","tech.3","tech.3",330,45,240
76,2016,15.7,2.4,-5,32.2,"yes",3,5,4,"tech.1","tech.4","tech.1",210,85,175
79,2016,14.3,12.6,-5,32.2,"yes",5,5,11,"tech.4","tech.4","tech.4",320,75,185
83,2016,25.4,0.5,-5,32.2,"yes",1,5,3,"tech.4","tech.4","tech.1",355,220,120
84,2016,5.6,9.9,-5,32.2,"yes",4,4,7,"tech.1","tech.4","tech.3",315,10,170
86,2016,5.9,2.5,-5,32.2,"yes",5,4,2,"tech.3","tech.2","tech.4",115,305,320
88,2016,17.3,5.4,-5,32.2,"yes",5,4,6,"tech.1","tech.4","tech.2",100,220,150
91,2016,15.6,3.7,-5,32.2,"yes",5,1,2,"tech.1","tech.2","tech.4",100,330,50
92,2016,18,3.8,-5,32.2,"yes",5,4,1,"tech.1","tech.2","tech.4",295,90,245
93,2016,12.7,4.7,-5,32.2,"yes",7,6,8,"tech.4","tech.1","tech.2",165,65,290
94,2016,9.7,3.4,-5,32.2,"yes",1,3,2,"tech.3","tech.1","tech.2",165,55,205
95,2016,20,1.8,-5,32.2,"yes",7,2,9,"tech.1","tech.2","tech.4",225,225,165
97,2016,14.7,12.2,-5,32.2,"yes",14,10,8,"tech.1","tech.4","tech.4",185,230,10
98,2016,12.8,5.1,-5,32.2,"yes",2,6,4,"tech.1","tech.1","tech.1",5,155,30
100,2016,7.8,1.7,-5,32.2,"yes",4,3,2,"tech.2","tech.3","tech.4",205,5,290
1,2017,12.8,2.9,-7.2,34.4,"yes",2,4,2,"tech.2","tech.2","tech.1",355,235,5
4,2017,18,0.3,-7.2,34.4,"yes",5,4,5,"tech.1","tech.3","tech.4",85,200,95
6,2017,27.7,2.5,-7.2,34.4,"yes",2,6,3,"tech.3","tech.3","tech.4",0,15,225
8,2017,10.8,1.9,-7.2,34.4,"yes",10,7,8,"tech.3","tech.2","tech.2",125,40,210
10,2017,11.7,1.9,-7.2,34.4,"yes",4,5,4,"tech.2","tech.4","tech.2",210,195,315
11,2017,8.7,4.5,-7.2,34.4,"yes",4,5,6,"tech.4","tech.1","tech.3",40,130,40
12,2017,13.6,13.8,-7.2,34.4,"yes",11,6,6,"tech.2","tech.4","tech.1",250,305,300
13,2017,19,2.2,-7.2,34.4,"yes",13,6,4,"tech.1","tech.2","tech.4",105,15,340
14,2017,11.8,8.6,-7.2,34.4,"yes",9,10,10,"tech.3","tech.3","tech.2",15,90,165
17,2017,17.6,3.5,-7.2,34.4,"yes",3,3,4,"tech.4","tech.4","tech.2",320,350,175
19,2017,13.2,1.1,-7.2,34.4,"yes",6,5,3,"tech.4","tech.3","tech.3",135,135,115
20,2017,8.8,0.3,-7.2,34.4,"yes",4,4,3,"tech.1","tech.1","tech.3",240,180,285
21,2017,10.6,4.2,-7.2,34.4,"yes",6,5,5,"tech.4","tech.2","tech.3",235,300,155
22,2017,18.5,0,-7.2,34.4,"yes",3,3,5,"tech.4","tech.4","tech.4",320,45,155
26,2017,16.1,1.6,-7.2,34.4,"yes",4,3,2,"tech.4","tech.3","tech.2",175,335,255
30,2017,7.6,1.4,-7.2,34.4,"yes",1,3,1,"tech.4","tech.1","tech.2",45,255,125
35,2017,21.2,0,-7.2,34.4,"yes",2,1,4,"tech.4","tech.1","tech.1",360,260,50
37,2017,12.8,1.5,-7.2,34.4,"yes",6,2,5,"tech.3","tech.4","tech.1",130,255,220
38,2017,3.3,0,-7.2,34.4,"yes",1,2,1,"tech.1","tech.4","tech.3",5,285,135
39,2017,11.2,0,-7.2,34.4,"yes",3,6,6,"tech.3","tech.3","tech.2",325,270,265
44,2017,12.6,9.1,-7.2,34.4,"yes",5,4,2,"tech.2","tech.3","tech.4",180,80,325
45,2017,7.6,2.8,-7.2,34.4,"yes",2,3,1,"tech.1","tech.2","tech.2",285,205,205
46,2017,7.6,0.7,-7.2,34.4,"yes",4,0,5,"tech.4","tech.4","tech.3",180,315,300
49,2017,16.4,11.5,-7.2,34.4,"yes",12,7,7,"tech.3","tech.3","tech.4",100,265,20
50,2017,23.8,0.2,-7.2,34.4,"yes",3,3,2,"tech.1","tech.1","tech.4",205,35,310
